Where do you live?	I live in Pasadena.
I feel sorry for anyone who loses their home.	So do I, but not if they're rich.
What does that have to do with it?	Rich people think they're better than us.
How many rich people do you know?	None.
Bears are invading our neighborhoods.	Of course they are. They're starving to death.
They should stay in the woods where they belong.	There's no food in the woods.
Can't they eat grass?	Do you think a bear is a cow?
Well, I've seen them eating berries.	Berries aren't in season all year round.
It's too dangerous for kids and pets.	People need to cover their trash cans.
The police need to shoot all the bears.	You don't solve a problem by shooting it.
Who did you vote for?	I voted for Obama.
Me too.	He will be a great president.
Everyone likes him.	He's a good speaker.
And he's really smart.	He will solve our problems.
He will end the war.	The next four years will be good years.
I'll vote for him next time, too.	I think everyone will.
The election is next week.	Who are you voting for?
I'm not voting for the mayor.	Why not?
He made promises that he didn't keep.	Like what?
He promised to hire 1,000 more police officers.	How many did he hire?
One hundred!	Maybe he had a good reason.
Maybe he's just a liar.	Maybe I'll vote for someone else, too.
I can't believe he won the election.	Only 15 percent of the voters turned out.
That is a joke.	Voting is so important, but people don't bother.
Many people think their vote doesn't matter.	The mayor won by only 2,000 votes.
We're stuck with him for four more years.	Voting is so easy. You can even mail your ballot in.
All you have to do is vote and put a stamp on it.	How easy is that?
I guess people just don't care.	They'll care when they see their taxes go up.
Well, we have a new president.	But we have the same old problems.
Well, he's made a few changes.	Like what?
I think he closed the bowling alley in the White House.	Oh, yeah. He's changing it to a basketball court.
Who's paying for that?	I think we are!
Well, that's okay, as long as it helps him relax and think more clearly.	Yes, we need a relaxed president who thinks clearly.
Do any other world leaders have a basketball court?	They will. You know America always leads the way.
People say that everybody loves Obama.	Well, more than 50 million people voted for McCain.
That's 50 million people who don't love Obama.	Obama's got four years to make everyone happy.
He's never going to make everyone happy.	Can you imagine being President?
Everyone wants you to solve their problems.	I have enough stress from trying to solve my own problems.
You and everybody else.	I would never want to be President.
But think about all the power you'd have.	I prefer my quiet little life to all the power in the world.
Did you read this article?	What article?
It says the mayor spends only 11 percent of his time on city duties.	Only 11 percent?
About 50 percent of the time he's traveling.	Where does he travel to?
Oh, all over the world.	But he's supposed to be making our city a better place.
He's visiting other cities to get ideas.	Can't he just go online?
The rest of the time he's raising money for his reelection.	Well, he'll never get reelected once this news gets out.
Who did you vote for for president?	I voted for Ralph Nader.
Who in the world is Ralph Nader?	He's the best man for president.
Why's that?	He hates corporations.
Well, most corporations do think only about money.	He hates Democrats and Republicans.
Well, they do put their party before their country.	He's the only candidate that I trust.
But he didn't have a chance. Nobody voted for him!	Sooner or later, voters will wake up.
I don't know why I bother to vote.	Why's that?
What good does it do?	You get to put someone in power that you like.
Only if my candidate wins.	Well, he can't win unless you and others vote for him.
But even if my candidate wins, he'll break his promises.	That's true. They promise anything just so they get elected.
And when elected, they go their own way.	They forget who put them in power.
They forget where they came from.	Maybe you should run for office.
That election for U.S. Senator stunk.	What do you mean?
There were more votes than voters!	But that's impossible.
Officials said that it's possible.	Did they explain how it's possible?
No. They said there are some things you can't explain.	So are they going to hold another election?
No. That will cost too much money.	So it's better to save money than to have an honest election?
Well, the Democratic Party says it was an honest election.	Of course they say that their man won!
I see that former President Bush is at a conference.	Yes. He's telling jokes about his eight years as president.
Yes, those eight years were a lot of fun for everyone.	Only 4,000 American soldiers were killed overseas.
Not to mention 40,000 wounded soldiers.	But Bush visited some of them in the hospital once.
That's nice that he found the time to make a visit.	He spoke to them and made them feel better.
Did he speak to every family that lost a soldier?	No, he didn't have time to do that.
Well, he's got plenty of time now!	No, he's too busy writing a book about how hard it was to be president.
Did you get your Official Sample Ballot?	Yes, with the Voter Instructions.
How are you going to vote?	Same as ever, by mail. All it costs me is a 42-cent stamp.
I meant, are you going to vote for or against the new taxes?	Against all of them, of course.
But we need new taxes to pay for highways, schools, and prisons.	We've already voted for new taxes to pay for all that stuff!
That's true. Where did that money go?	Our legislators spent it on first-class travel all over the world.
They are having a good time with our money.	So when are we going to stop giving them more?
Have you decided how you are going to vote?	Do you mean on Measures 1, 2, and 3?
Yes. The ones that will improve our schools, roads, and hospitals.	You mean the measures that will raise our taxes.
But the TV ads say that our taxes will not increase.	Do you believe the TV ads?
I like the one where the fireman tells us why we should vote Yes.	Don't believe him! Whatever the TV ads tell you, the opposite is true.
But the title of Measure 1 is "Better Schools at No Cost."	The title should be "Better Schools at Huge Cost."
I can't believe that they would lie to us.	Of course they lie that's what politicians do!
I have a stomachache.	Is it something you ate?
Maybe. I'm not sure.	What did you have for breakfast?
The usual, cereal with milk and a banana.	Maybe the milk was bad.
It didn't smell bad.	Maybe the banana was bad.
No, the banana was delicious.	Maybe you just need to go to the bathroom.
No, that's not the problem.	Maybe it will go away in a little while.
What's this stain?	I don't know.
It looks like blood.	I think my nose was bleeding.
You should wet your shirt immediately.	Why?
Because that gets the blood out of the shirt.	What's a little blood?
Your white shirt is ruined.	So, I'll just buy another one.
You can wear this one around the house.	Next time I'll soak it immediately.
My fingers hurt.	Why do they hurt?
I type too much.	You should take a break.
I need to type to make money.	But typing is causing you pain.
Maybe I should see a doctor.	Doctors are too expensive.
He might tell me to rest for a while.	He might want to cut you open.
He might say I'm okay.	He might say you have bone cancer.
What did the doctor say?	He thinks I have too much stress.
Stress causes your stomachaches?	Stress causes different problems with different people.
So what did he tell you to do?	He said I need to think positive.
He didn't give you any medication?	I hate medication. It makes me feel different.
So how do you think positive?	I think about nice things.
Like what?	Like a day at the beach, with my toes in the sand.
I cut my finger.	How did you do that?
It's a paper cut.	Paper can be dangerous.
It hurts, too.	Paper cuts can hurt a lot.
Where are the band-aids?	I think they're in the medicine cabinet.
It's on the tip of my finger.	A band-aid might not work.
I must not use this finger until the cut heals.	It might take a day or two to heal.
Do you smell that?	Oh, yes.
I can't stand cigarette smoke.	It smells so bad.
One cigarette stinks up the whole sidewalk.	Smokers think they are so cool.
They are so weak.	A little cigarette controls them.
They look so stupid taking a puff.	And then they blow smoke out of their mouth.
They think it's cool.	Cigarettes stink.
Do you have a cold?	Yes, I do.
How did you get it?	My sister had a cold. She gave it to me.
Have you taken anything for your cold?	No, I just blow my nose a lot.
Your nose is stopped up?	Yes. I have to breathe through my mouth.
Have you tried nose drops?	No, I don't like nose drops.
They work great.	I don't care. I don't like to put drops in my nose.
Would you put suntan lotion on my back, please?	Sure.
Thank you.	You shouldn't lie in the sun for too long.
I want to get a tan. I don't want to look so pale.	What's wrong with looking pale?
People think you might be sick.	Who thinks that?
I don't know.	It's better to be pale than to have skin cancer.
I know that.	So why are you arguing with me? Don't lie in the sun too long!
I can't quit smoking.	Of course you can.
I don't have enough will power.	Of course you do.
I wish I had never started.	So does every smoker.
I've tried to quit so many times.	So has everyone else.
Nothing seems to work.	All it takes is will power, and you have it.
Then why can't I quit?	You have to believe in yourself.
My back is killing me.	What did you do?
I got out of my car.	That's it?
I injured my back one time just by sneezing.	You should see a doctor.
My doctor said I need surgery.	So?
So, forget it.	You don't have the money?
I have no insurance.	Maybe a back rub would help.
My brother smokes three packs a day.	Three packs of what?
Cigarettes, of course.	How can he do that?
When he is almost finished with one cigarette, he uses it to light another.	He's a chain smoker.
He's been a chain smoker for 30 years.	That's unbelievable. Can he still breathe?
He can, but the people around him can't.	How can he still be alive?
His doctor says his heart and lungs are strong and healthy.	Maybe I should start smoking.
I hate brushing my teeth.	It's such a chore.
Brush, brush. Spit, spit.	What did they do in the old days?
They brushed with their fingers.	They also ate with their fingers!
Why do they call it the good old days?	Maybe because they didn't have to brush and floss.
Who invented flossing?	A dentist, I'm sure.
I hate flossing more than brushing!	I can't wait till all my teeth fall out.
Let's stop for a while. I need a break and some water.	This trail is hard to climb.
Especially on a hot day like this.	I can't believe we haven't seen any animals.
Thank goodness! I don't want to see any wild animals.	All we've seen so far is a couple of lizards.
We're hiking to lose weight, not to see goats and bears.	I bet I've lost a couple of pounds already.
All you've lost is some sweat.	I haven't even lost one pound of fat?
If you want to lose fat, you've got to do this hike every day.	Okay, but let's hike in town. At least there are cats and dogs to see.
Oh no, another pimple on my face.	Pimples suck.
It seems like I get a new pimple almost every day.	Maybe it's something in your diet.
No, I eat the same things day after day.	Then maybe it's in your genes.
You might be right.	Do pimples run in your family?
Not that I've noticed.	Well, maybe it's from the pollution in the air.
Whatever the cause, I hate seeing them on my face.	Well, on the bright side, they're fun to pop.
Do you believe everything you hear?	I don't believe anything I don't see with my own eyes.
You can't believe what you hear on TV or radio.	You can't believe what you read in the newspapers.
Everyone tells you a different story about the same thing.	Three different people will give you three different stories.
And the government will give you a fourth story.	Yes, like the government says not to worry about the swine flu.
But the swine flu just killed 20 people in Mexico.	The government says we have nothing to worry about.
Then why are some schools telling the kids to stay home?	The government says to wash our hands frequently, and we'll all be okay.
Don't pick your nose.	I wasn't picking my nose.
What were you doing?	I was scratching my nose.
I think I know the difference between picking and scratching.	Okay, mom, maybe I was picking it a little bit.
Use a tissue next time.	I didn't have a tissue.
Then wait till you find a tissue.	I couldn't wait. It was an emergency.
Oh, really? Maybe you should have called 911.	It wasn't that kind of emergency.
Our TV remote is filthy.	Yes, it's covered with crud.
I'm going to clean it.	Don't use water on it!
I'll use a damp cloth.	Don't let water get into any of the cracks.
I'll squeeze the cloth so it's almost dry.	Don't rub the numbers off the remote.
I will rub gently but firmly.	Do it quickly, please, so I can change channels during commercials.
I'll give it back to you in a couple of minutes.	Maybe we should put it in a plastic bag to keep it clean.
My ear is killing me.	What's the matter?
I was on a plane.	So?
So, every time the plane goes up, my ear starts to hurt.	That's no good.
Sometimes the pain goes away, and sometimes it doesn't.	Have you seen a doctor?
I've been to two doctors.	And they couldn't fix your problem?
They both said I have to live with it.	Or you can stay off planes.
Did you see the woman with the new face?	Did she get a nice job?
She got an "everything" job!	What do you mean?
A team of doctors gave her a whole new face.	Why did they do that?
A mad dog bit most of her face off.	Oh, that's terrible. What does she look like now?
Her face is really fat, but they say the swelling will go down.	And then will she look normal again?
I guess so.	God bless modern medicine.
There's something wrong with my right hand.	What's wrong with it?
It aches most of the time.	What do you think it is?
I don't know. I think it's old age.	If it's old age, why don't both of your hands hurt?
That's a good question. Maybe it's not old age.	Are you right-handed?
Yes. All my life.	You're wearing out your right hand. Stop using it so much.
But I do all my writing with my right hand.	Start typing instead. That way your left hand will do half the work.
Excuse me, is this Peter Civera's classroom?	I don't know. I am a new student.
So am I. How do you do?	How do you do?
My name´s Corin and this is Juan my husband.	Pleased to meet you Corin, Pleased to meet you Juan.
Are you from Elda?	No I'm not, I'm from Cuenca, and my wife is from Alicante, but we live in Elda. Where are you from, Laura?
No I'm not, I'm from Cuenca, and my wife is from Alicante, but we live in Elda. Where are you from, Laura?	I am from Elda. I live in Sagasta Square.
Hello Juan, Hello Corin, How are you?	Fine and you?
Not bad. Corin why are you learning English?	Now I want to learn English because I'm working in an office in a shoe factory and I also want to travel and surf the Internet.
And you Juan?	I want to understand the lyrics of Phill Collins songs and travel with my wife. English is vital nowadays.
Pleased to meet you Juan and Corin.	Pleased to meet you too.
Hello Laura, and you why do you want to learn English?	I have some English friends and I want to send them emails in English. I love surfing the Internet and the best web pages are in English, you know.
Isabel and you, why do you want to learn English?	I play in a handball team and we travel a lot.
Can I help you?	Yes I'm Corin López, and I'd like to know the price for a trip to London.
When are you plannig to go?	Well, next June.
The options are flying with Iberia from Valencia or fly from Alicante with British Airways.	What's the difference?
Basically the price. Iberia's a little more expensive but you have more flying space. I mean, seats are much more comfortable than in the rest of companies and of course you don't have to go to Valencia.	Do they fly direct to London?
Both fly direct to Heathrow and Gatwick.	We also need a double room in a hotel in the city centre.
Well if you want the Iberia flight you have three flights a week, Monday, Wednesday and Friday, all at 13:00.	What about the hotel? We want the nearest one to Picadilly.
If you want a good one, you have the Royal Crown, nearly everybody from Elda go there, you also have cheaper ones but this is very well situated.	What's the Royal Crown like?
It's not as expensive as the Royal Palace but it has better services. They serve an excellent buffet during breakfast.	Well, tell me the prices.
I would like to book the Royal Crown.	How many nights?
7 nights.	Let's check, so you will be in London till 7th July if you decide to go on the 29th.
Could you get me a city map and information about theatres and restaurants?	No problem. but I suggest surfing the Internet, it will be easier. The tickets will be ready next Tuesday. Shall I send them to you?
No, thanks I'll pick them up tomorrow. I want to give a surprise to my husband.	Remember that you must check in at the airport at least 45 minutes before departure time. You must get the boarding passes at the counter of the company.
Can I help you?	Juanma, This is Juan G.
Hello Juan, how are things?	Fine thanks and you. I need a guide of London. We are going there in June. Corin gave me a surprise last night.
How lucky you are. Well, there are several guides, but for me the best one is the Michelín, although I'm afraid I don't have it at the moment.	When could I have it?
Next Friday.	Ok, no problem. I 'll be there Saturday morning.
So, how is your wife?	She's very well, thanks. We're both studying English with Pedro Civera at the UNED. Now she is all the time visiting English web pages and singing songs in English.
Remember to give her my regards.	I won't forget it.
I'd like to gather information about London, We're going to go in June and it would be a great help to receive some brochures and maps.	We are here to help you sir, what do you need?
A city map of London, a guide of the underground and information abour day trips from London.	Can you give me your address please?
Sagasta Square 12, 2B. 03600 Elda, Alicante.	An your name please, Juan. G.
I'd also appreciate some information abouth Health Services and shows.	No problem sir.
Thank you very much indeed.	You're welcome.
Where's the Iberia counter?	I don't know. Let's go to Information.
Yes?	Where's the Iberia counter, please?
It's next to British Caledonian, at the end of this corridor on the left.	Morning, we would like to check in.
Morning, let me have your plane tickets please.	Could we have a window seat, please?
Of course, no problem. Smoking or non smoking?	Non-smoking please. Which gate are we boarding from?
Thank you.	I think I'm going to buy a newspaper. What do you want from the newsagents?
Buy Hola, Telva and some chewing gums please.	Ok I'll get it.
Ok I'll get it.	Iberia announces the departure of flight 345 to London. Will all passsengers please go to gate 7.
Welcome on board. My name's Karen, please follow me to your seats, A7 and B7. Would you like anything to drink?	I beg your pardon?	Anything to drink madam?
I beg your pardon?	Anything to drink madam?
An orange juice with no ice please.	And for you sir?
White coffee, no sugar please.	Here you are.
Thank you very much.	You're welcome.
Excuse me, what's this button for?	You can choose the music you like. It's called a jukebox. There are more than 3000 songs to choose from and different styles: classical, pop, country, jazz....
If you press here your seats go back and you will be more comfortable. If you need blankets, pillows or whatever, call me, I'm at your service.	Ladies and gentlemen, we'll be landing in London in ten minutes, please fasten your seat belts.  The temperature's 10 degrees centigrades. Remember that summer in England is winter in Alicante. We hope you've had a pleasant journey and would be very pleased to see you aboard again. Try not to get a cold.
Good evening, may I have a look at your passports please?	Certainly, here you are.
What's the purpose of your visit?	We're on holidays.
How long are you going to stay in Britain?	One week.
Where abouts are you staying?	At the Royal Crown Hotel. Do you want to see our reservation?
It's not necessary, how much money have you got?	1.000 pounds in cash and 2.000 more in travellers' cheques.
Do you have anything to declare?	No. Only my genius, well that's a joke you know. Do you remember Einstein?
Would you mind opening this suitcase, please?	Not at all.
Ok, Everything is in order. Welcome to London and enjoy your stay.	Where can we get a trolley?
Just over there, behind the duty free shops. The second corridor on the right. Don't worry, you don't need coins.	Thank you so much.
So, Corin, don't be offended but you always forget the umbrella and now look at me I'm soaked.	I'm sorry Juan, we'll buy one.
Good afternoon, where to?	To the Royal Crown hotel please.
Where are you from? Italy?	No, we are from Spain.
Oh Spain, I have a house in Santa Pola del este. I spend at least 12 weeks a year there. Lovely weather not this one.	Do you always have this horrible weather ?
No, sometimes it's worse. Well, to tell you the truth it's always bad, that's why we have beautiful green landscapes. That's the English weather.	Well, If you have enough time don't miss the museums and shows.
Thank you very much for the ride and the information. Can you give me your card just in case we need a taxi?	Here you are. The phone number is very easy to remember. You know James Bond, don't you?
He's my husband's favourite secret agent, 007.	Well, if you need a taxi, phone 007 anytime of the day.
Thank you very much.	I hope you have a nice stay here in London.  Enjoy yourselves.
Thank you very much, How much is the fare?	20 pounds for the ride and 3 each piece of luggage so 26 altogether
Here you are, 30 and keep the change.	Thank you very much and welcome to London, the city of the rain. I miss Santa Pola del este.
Welcome to the Royal Crown.	Hello, we have a reservation.
We were expecting you, did you have a good flight?	Well, apart from the weather everything was fine, thanks.
What's your name?	Corin.
How do you spell it please?	C-O-R-I-N.
And your surname?	López.
Can I have your passport please?	Here you are.
Thanks. Your room is 407 on the fourth floor. Here is your key. Enjoy your stay.	Thank you.
Here you have these cards, they're the magnetic keys to your rooms, you must keep them all the time. Should you need anything don't hesitate to ask for it. If you want to phone Spain remember that you can call direct from the rooms. You only have to dial 0 first and wait for a second tone. If you want, you can also reverse the call.	What time does the restaurant open for breakfast?
We open at 6.00 and the breakfast service closes at 11.30. Breakfast is served on the second floor.	We need to book a table for tomorrow night in a good restaurant. Which one would you recommend?
The Great Dragon in Soho is by far the best Asian restaurant in town.	Could you book a table for us for tomorrow night please, and ask for a taxi at 21.00?
By the way, can you give me a city map?	No problem, it'll be a pleasure. Here you are.  Are you interested in sightseeing, or shopping?
Museums and shopping areas, I want to buy some clothes.	Have a look at the map. Here you have the city centre enlarged. Where you can find all the museums and theatres. Here you can see Hyde Park, Buckingham Palace and Harrods. The opening hours for shops are 9 to 5 and 10 to 3 pm on Saturdays. If you are interested in sightseeing there's a tour every hour departing from Picadilly
Do museums open on Sunday?	All the museums open on Sunday.
What about the clothes shops?	The trendiest area is Oxford Street and Carnaby Street, where you can find Benetton, the Gap, Gucci, Versace and so on. But the most crowded shop in town is the new Zara Megastore. It's very popular among the young people. It's impossible to miss, opposite Covent Gatden, in the city centre.
Ok, I also need to have two films developed.	There's a film shop opposite the hotel, It's called Photoshopping. Give the shop assistant this hotel card and he'll grant a discount.
Thank you very much.	Well, I think we should have a shower, a light supper and go for a walk, we can visit Covent Garden, the guide says it's crowded at night.
The room has a great view to Hyde Park. This is your room madam. Remember that reception number is 00, room service 01, the laundry 02, outside line 03 and for international calls dial, 0, 00, country code, area code, number.	Thanks.
There you have the mini bar. You have a safe inside the wardrobe. And you can plug in a computer in here if you need it. We have e-mail and fax services as well.	Juan, remember to tip the boy.
JUAN Thanks, I had forgotten. I didn't have enough time to read the guide.	Can I help you?
Can I help you?	I've just tried to watch TV, but it's not working.
We'll be there in a minute.	Thanks. Could you please bring me todays' paper in English please?
Which one?	Anyone.
Anyone.	I'll send it to you along with the TV technician.
My shirt needs ironing, can it be ready by 20:00?	Of course.
Thank you, there's also another question. We'd like to rent a car for the weekend.	To rent a car in this country, you need to have had a licence for at least a year and must also be older than 25.
No problem with these two requeriments. Do you happen to know if we can return the car to any AVIS station in the country? I'm telling you this because we want to go to Oxford and Cambridge by car and return on Sunday night by train.	No problem, sir.
Do you know the rates?	They vary according to the model, a Golf would cost 60 pounds a day, a Passat 80 and a Mercedes 300S, more than 200.
What does the price include?	Unlimited mileage, insurance and maintenance, but petrol isn't included.
Unlimited mileage, insurance and maintenance, but petrol isn't included.	Thank you very much for your help. And get me a Passat for Saturday.
Can I help you?	I need two new films.
Do you want to have them in an hour?	What's the price for the one-hour service?
It's a little more expensive, but we have an offer of an extra set of prints in Kodak paper for just two more pounds.	Ok, I'll have it.
Would you like to have a CD with all the digital images? It only costs 3 extra pounds.	Ok, My husband will love the idea of having the photographs in the computer.
We have another offer, two enlargements for 1 pound.	I'll have the extra set of prints, the CD but not the the enlargements thank you.
Which hotel are you staying at?	The Royal Crown.
If you want, I can send everything to your hotel, but at no extra cost.	That's very kind of you. How much is it, then?
20 pounds altogether..	Can I pay by credit card?
As long as you have your passport handy.	No problem, here you are.
Thank you very much.	You're welcome.
Bye bye, and have a nice day.	Same to you.
We would like to change 300 euros into pounds.	Sure, Can I have your passport please?
Here you are.	Can you sign here please?
Have you got a pen handy?	Here you are.
Could you give me 3 fifties and the rest in tens and twenties but no coins.	No problem.
Thank you very much.	You're welcome.
Can I help you?	Yes, we want two large beers, one hamburger with cheese but without onion and a Big Mac, we want de luxe chips a bottle of water and a special salad.
Anything else?	Two black coffees and the bill, please.
Ok That's 27 pounds altogether. Here's your change, thank you very much and have a good day.	The same to you.
Good evening.	Good evening.
A pint of beer and a coke please.	Bitter or lager?
Lager please.	Anything else?
A packet of crisps.	Which flavour?
What have you got?	Salted, onion, cheese and ham, BBQ, Mediterranean.
Salted please.	So, It will be 4.45 altogether.
Here you are.	Thanks.
Can we have a table for two?	No problem, follow me please.
Excuse me, where's the toilet?	Keep on walking and the first on the right.
Are you ready to order?	What do you recommend?
Are you ready to order?	What do you recommend?	Today's special is steak with ecological vegetables, fish, meat, pizzas os special salads.
Ok, to start we want some almonds and olives.	What do you want to drink?
Two pints of lager and a big bottle of water.	And for the main course?
A steak with chips, well done please, and also a salad with tomato, lettuce, tuna but no onion or garlic please.	And for you sir?
I prefer fish.	We have cod, sole and haddock.
Haddock please and a salad, no chips please.	Would you care for dessert?
What have you got?	Salad fruit and icecream.
Which flavours?	Chocolate, vanilla and strawberry.
Salad fruit for me and a chocolate icecream for him.	Will you have coffee?
Two black coffees, expressos please and the bill we're in a hurry we're late for the opera.	I'll be back in a second.
Globaltickets, good morning, can I help you?	Yes, please. I want two tickets for the concert of Phill Collins.
Wembley or Edimburg?	Wembley. How much are the tickets?
We have 100, 50, 40, 20 and 8.	Well, two 40 please.
Can you tell me your credit card number, please?	Sure, 986789245.
And the expiry date?	04/05.
Where do you want to collect your tickets sir?  We can deliver them anywhere.	The Royal Crown
You'll have them by 12.00 tomorrow.	Ok, Thank you very much.
Ok, Thank you very much.	You're welcome.
Are you ready to order or prefer to see the menu?	What do you recommend?
If you want to try our speciality, order seafood, we have excellent oysters, lobsters, clams, red grilled prawns, but we also have meat, pizzas and a great variety a salads.	I'll try the prawn and lobster salad and and grilled tuna fish.
I'll have a special salad: llettuce, tomato, corn but please no onion or garlic. Then for the main course lambchops with ecological vegetables.	How would you like the lambchops? Rare, medium or well done?
Rare for me.	Would you like to have a look at the wine list?
Why not. One bottle of Rioja and a big bottle of mineral water please.	Juan, this bottle is going to cost a lot.
Honey, let's call it a day.	Now I propose a toast for the best man I've ever met. Cheers.
You're lovely Corin. Cheers.	For the dessert we strongly recommend the chocolate cake, but we have a wide selection of cakes and tropical fruit.
I'll have tropical fruit.	I'll try the cake.
That sounds like a good idea. Will you have coffee?	A black coffee for me.
I prefer a green tea with lemon. And please get the bill ready, we are in a hurry.	Here you are sir.
I know you don't like Phill Collins very much sweetheart.	Tomorrow we can go to see the Phantom of the opera or Cats.
I agree. Let's see if we can get the tickets at the hotel. I'll phone	Hello
This is Juan G., I was wondering if you could get us two tickets for the Phantom of the Opera for tomorrow's performance.	Of course, leave it all to me. You can collect the tickets here or at the theatre, which do you prefer?
The hotel is better.	Do you need anything else?
No, thanks.	Well, have a nice day, sir.
The same to you. Bye.	Corin, now, if you want I can take you to a place I know you are going to like a lot.
Where?	London's biggest street market.
Juan, you're sweet I love you.	I love you too. My sweet street market addict.
Is it far from here?	Not very far. We have to take the tube. It's called Portobello Road.
Not very far. We have to take the tube. It's called Portobello Road.	But please, don't get nervous, I know you don't like these places.
It's been a good day.	Well, I have enjoyed myself a lot. The concert was unforgettable but the food in this country is not what I like best. I'm looking forward to going back to Elda and eat a paella.
We can order something in the hotel. I'm hungry too.	I am going to ask for a sandwich. What do you want?
Whatever you ask for, order for me as well.	So a couple of sandwiches and fruit. Do you want pineapple or apricot?
Two ham and cheesse sandwiches and pineapple.	Just now, I would eat a sandwich of sliced battered squid with garlic sauce from Los tanques.
When we get back to Spain I'll treat you.	I'm looking forward to it.
I'm looking forward to it.	Me too.
Good morning, my wife isn't feeling very well. Could you call a doctor please?	No problem.
We have an international health policy with Metro Life.	No problem with the insurance. You don't need it.
Please take off your blouse and let me have a look at chest.	I'm afraid you have English weather in your body. I mean you have got a cold. Nothing serious. Take these paracetamol with hot lemon and you'll feel better by tomorrow afternoon. Drink plenty of water and juices. I am not going to prescribe antibiotics, you don't need them right now. And don't let the weather cheat you again.
Thanks doctor.	You're welcome. Next time take your umbrella although you see the sun.
We will do it for sure.	Do you need our health policy.
Well it isn't necessary in this country.	Thank you doctor.
Hello. Have you got a room?	Yes, we have a double room free.
Could we have a look at it?	No problem. Follow me please.
How much is it?	45 pounds a night included English or continental breakfast.
Ok.	How many nights are you staying?
Two nights.	Can I see your passports?
Here you are.	Your room is next to the bathroom. You can use the lift here.
Thank you very much.	Breakfast is served from 7.30 to 10.30.
We'll get up at 9.00.	Then I'll prepare breakfast at 9.30, is that right?
Sure.	Good night.
Good night.	Good night.
So, Corin, why don't you go shopping while I read the paper?	Ok, I want to buy some clothes for the girls and I know that you prefer to stay, so we can meet at the hotel at 15.00 and then have lunch.
Can I help you?	Yes please, I'm looking for a present for my sister. Do you have any Armani perfume?
Yes madam. This one is the latest one.	Could I smell it please?
Of course.	How much is it?
35 pounds.	Do you accept credit cards?
Of course we do.	Here you are.
I need your passport too, please.	Here it is.
This is your receipt. Please sign here.	Thank you.
Thank you.	You're welcome.
Look Juan! What nice T-shirts.	May I help you?
How much are these?	6 each, but if you take 3 I'll let you have them for 15.
Ok. I want 3 but I want a discount.	If you take 6, I'll give you them for 28.
I want them in different colours and designs.	There you are madam.
Where are they from?	They're made in Scotland. They have been making them for centuries.
Thank you very much.	You're welcome.
Where to?	To the nearest bank, please.
Any in particular?	Any Midland Bank would do.
Any Midland Bank would do.	There's one near the Harrods and another one next to Covent Garden, which one do you prefer?
The Harrods one, please.	Excuse me, how long will it take to go to Greenwich?
An hour, the road is very good.	How much would you charge to go there and back in a day?
How much would you charge to go there and back in a day?	40 pounds.
Juan, why don't we go there? We could go on Saturday. Visit the museum, see the Cutty Sark and have a picnic.	I like the idea.
Could you please pick us up at 9.00 am tomorrow at the Royal Crwon Hotel?	Sure, madam. No problem.
Good morning, can I help you?	Yes, I would like to change some euros.
How much?	500.
Are they travellers' cheques or cash?	Cash.
The exchange rate today is 1.2 pouds to the euro.	How much is 500 euros then?
Let me see.	In which denominations do you want them?
I beg your pardon?	I mean, how would you like your money?
In tens, fives, and, ones, please.	Let me have a look at your passport and sign here, please.
Here you are.	And here's your money, Madam.
Thank you.	You're welcome.
Good morning, can I help you?	We are looking for stamps.
Do you want to send a parcel or a letter?	Neither. My brother is a collector.
In that case, go to that counter over there, and ask for collector's series.	Thanks.
Sir?	We want to have a look at the collector's series of stamps.
Which ones?	How many have you got?
More than 20.	May we have a look at them?
Sure, here you are.	How much are they?
2 pounds each.	I want them all.
What?	I want them all.
Are you sure?	I never joke.
Just a second, I'll go and get them. It's the first time in my life that I have sold all of them.	They're for my brother, he is a collector. He is going to like them a lot.
They're for my brother, he is a collector. He is going to like them a lot.	You're right.
Yes, sir?	Two first class to London, please.
Which train?	The 21.30.
50 pounds, please.	Which platform does the train leaves from?
Platform 2, sir.	Thank you.
Juan, do you want anything for the train?	Buy some chewing gum, please. and ask if they sell any Spanish newspapers.
Can I help you?	Yes, a packet of chewing gum.
Which flavour?	Strawberry, please.
Anything else?	Do you have El País or ABC by any chance?
I'm afraid I only have a copy of El Mundo left.	Ok, I'll have it, please and also a copy of Hello Magazine.
That's 2 pounds 30p, please.	Thank you very much. Good-bye.
Thank you very much. Good-bye.	Good-bye.
Look Juan, this is Harrods. The best department store in the UK. They send everything to the Queen. Why don't we buy something to eat? You can buy anything here, an elephant or an island, or so they say.	Can I help you?
Yes please, we want Scottish smoked salmon.	How much?
Enough to prepare 4 sandwiches.	Ok, Anything else?
One of these boxes of chocolates with almonds.	What kind of chocolate? dark chocolate or milk chocolate?
Milk would be better.	Anything else?
Some cheese, please	Cheddar or Stilton?
Cheddar. One pound please. Can I have it sliced?	Sure, here you are.
Excuse me, what is this fruit?	It's a tropical fruit. It's called passion fruit.
Let me have two and and two big apples. That's all.	That's 15 pounds altogether. Credit card or cash?
Cash.	Here's your receipt.
Here's your receipt.	Thank you.
Excuse me, have you got this sweater for me?	Which colour do you want?
I'd rather have it in blue or pink.	Medium size, isn't it?
It is.	We have it in white and grey, but not in pink.
Can I try it on?	The changing rooms are over there on the right, next to the lift..
Well I prefer to have the large size please.	No problem. Just a second.
Thank you.	Do you need anything else?
